LEMME;FLEXION
radiophysicien;radiophysicienne
raffineur;raffineuse
ragréeur;ragréeuse
ramasseur;ramasseuse
ramendeur;ramendeuse
ramoneur;ramoneuse
randonneur;randonneuse
raniculteur;ranicultrice
raseur;raseuse
rattacheur;rattacheuse
ravaleur;ravaleuse
raviveur;raviveuse
rayonneur;rayonneuse
rebobineur;rebobineuse
recenseur;recenseuse
receveur;receveuse
recouvreur;recouvreuse
rectifieur;rectifieuse
recuiseur;recuiseuse
recycleur;recycleuse
refendeur;refendeuse
regarnisseur;regarnisseuse
releveur;releveuse
relieur;relieuse
remailleur;remailleuse
rembordeur;rembordeuse
remmouleur;remmouleuse
remonteur;remonteuse
rempailleur;rempailleuse
rentrayeur;rentrayeuse
rentreur;rentreuse
repasseur;repasseuse
repiqueur;repiqueuse
reporter;reportrice
repousseur;repousseuse
représentant;représentante
ressortier;ressortière
ressourcier;ressourcière
restaurateur;restauratrice
restituteur;restitutrice
retailleur;retailleuse
retordeur;retordeuse
retoucheur;retoucheuse
rewriter;rewriteuse
rhabilleur;rhabilleuse
rhodieur;rhodieuse
ripeur;ripeuse
rippeur;rippeuse
riziculteur;rizicultrice
roboticien;roboticienne
rogneur;rogneuse
romancier;romancière
rompeur;rompeuse
rondier;rondière
rotinier;rotinière
roughman;roughwoman
rubanier;rubanière
réalisateur;réalisatrice
réchauffeur;réchauffeuse
récupérateur;récupératrice
réenrouleur;réenrouleuse
référenceur;référenceuse
référent;référente
régaleur;régaleuse
régisseur;régisseuse
régleur;régleuse
répandeur;répandeuse
réparateur;réparatrice
répartiteur;répartitrice
répétiteur;répétitrice
réunisseur;réunisseuse
réviseur;réviseuse
rééducateur;rééducatrice
rôtisseur;rôtisseuse
sableur;sableuse
sabotier;sabotière
sacrificateur;sacrificatrice
saigneur;saigneuse
saisisseur;saisisseuse
salaisonnier;salaisonnière
saliculteur;salicultrice
salinier;salinière
salmoniculteur;salmonicultrice
sanforiseur;sanforiseuse
santonnier;santonnière
sapeur;sapeuse
satineur;satineuse
saucier;saucière
saunier;saunière
sauveteur;sauveteuse
scanneur;scanneuse
scaphandrier;scaphandrière
scieur;scieuse
sculpteur;sculptrice
second;seconde
semencier;semencière
sensoriel;sensorielle
serrurier;serrurière
sertisseur;sertisseuse
servant;servante
serveur;serveuse
sexeur;sexeuse
signaleur;signaleuse
skieur;skieuse
skiman;skiwoman
soignant;soignante
soigneur;soigneuse
soldat;soldate
solier;solière
sommelier;sommelière
sondeur;sondeuse
sonorisateur;sonorisatrice
soudeur;soudeuse
soudobraseur;soudobraseuse
souffleur;souffleuse
souscripteur;souscriptrice
stadier;stadière
staffeur;staffeuse
statisticien;statisticienne
stratifieur;stratifieuse
stucateur;stucateuse
stérilisateur;stérilisatrice
substitut;substitute
superviseur;superviseuse
surfileur;surfileuse
surintendant;surintendante
surveillant;surveillante
sushiman;sushiwoman
sylviculteur;sylvicultrice
sécheur;sécheuse
sélectionneur;sélectionneuse
sériciculteur;séricicultrice
tabaculteur;tabacultrice
tabletier;tabletière
tailleur;tailleuse
talonneur;talonneuse
tanneur;tanneuse
tapissier;tapissière
tatoueur;tatoueuse
taupier;taupière
taxateur;taxatrice
techniverrier;techniverrière
teinturier;teinturière
tendanceur;tendanceuse
terrassier;terrassière
testeur;testeuse
textureur;textureuse
thanatopracteur;thanatopractrice
thermicien;thermicienne
thermocolleur;thermocolleuse
thermoformeur;thermoformeuse
timbalier;timbalière
timonier;timonière
tireur;tireuse
tisserand;tisserande
tisseur;tisseuse
toiletteur;toiletteuse
tondeur;tondeuse
tonnelier;tonnelière
torréfacteur;torréfactrice
toréro;toréra
toupilleur;toupilleuse
tourier;tourière
tourneur;tourneuse
traceur;traceuse
traducteur;traductrice
transcripteur;transcriptrice
transformateur;transformatrice
transmetteur;transmettrice
trempeur;trempeuse
tricoteur;tricoteuse
trieur;trieuse
tripier;tripière
tronconneur;tronçonneuse
truiticulteur;truiticultrice
tréfileur;tréfileuse
trésorier;trésorière
tuilier;tuilière
turbinier;turbinière
tuteur;tutrice
tuyauteur;tuyauteuse
téléacteur;téléactrice
téléconseiller;téléconseillère
téléopérateur;téléopératrice
téléprospecteur;téléprospectrice
télévendeur;télévendeuse
tôlier;tôlière
usineur;usineuse
vacher;vachère
vannier;vannière
veilleur;veilleuse
velouteur;velouteuse
vendangeur;vendangeuse
vendeur;vendeuse
vernisseur;vernisseuse
verreur;verreuse
vidangeur;vidangeuse
viennoisier;viennoisière
villier;villière
visiteur;visiteuse
viticulteur;viticultrice
vitrier;vitrière
voiturier;voiturière
volailler;volaillère
voltigeur;voltigeuse
vulcaniseur;vulcaniseuse
vénériculteur;vénéricultrice
vérificateur;vérificatrice
wappeur;wappeuse
wheeleur;wheeleuse
zingueur;zingueuse
zootechnicien;zootechnicienne
ébaucheur;ébaucheuse
ébavureur;ébavureuse
éboueur;éboueuse
écailler;écaillère
écailleur;écailleuse
échafaudeur;échafaudeuse
échantillonneur;échantillonneuse
écharneur;écharneuse
échassier;échassière
échiniculteur;échinicultrice
éclusier;éclusière
écorceur;écorceuse
écoutant;écoutante
écrivain;écrivaine
écrouteur;écrouteuse
écuyer;écuyère
éditeur;éditrice
éducateur;éducatrice
égoutier;égoutière
éhouppeur;éhouppeuse
élagueur;élagueuse
élastiqueur;élastiqueuse
électricien;électricienne
électrobobinier;électrobobinière
électromécanicien;électromécanicienne
électronicien;électronicienne
électrotechnicien;électrotechnicienne
éleveur;éleveuse
élingueur;élingueuse
émailleur;émailleuse
énergéticien;énergéticienne
épicier;épicière
éplucheur;éplucheuse
équipier;équipière
érodeur;érodeuse
étainier;étainière
étalonneur;étalonneuse
étameur;étameuse
étampeur;étampeuse
étancheur;étancheuse
étiqueteur;étiqueteuse
étireur;étireuse
évaluateur;évaluatrice
éviscérateur;éviscératrice
